ÁÌ‡˜ÂÌËˇ ÓÚÌÓÒËÚÂÎ¸Ì˚Â;
ƒ‡Ú‡;¬ÂÏˇ;Ã Àœ1,ÏÍÏ;Ã Àœ2,ÏÍÏ;Ã Àœ3,ÏÍÏ;Ã Àœ4,ÏÍÏ;Ã Àœ5,ÏÍÏ;Ã Àœ6,ÏÍÏ;Ã Àœ7,ÏÍÏ;Ã Àœ8,ÏÍÏ;
28.12.2018;8:05:21;501,5;524;490;490;502;506,5;509;499;
28.12.2018;8:05:22;501,5;524;490;490;502;506,5;509;499;
28.12.2018;8:05:22;501,5;524;490;490;502;506,5;509;499;
28.12.2018;8:05:23;501,5;524;490;490;502;506,5;509;499;
28.12.2018;8:05:23;501,5;524;490;490;502;506,5;509;499;
28.12.2018;8:05:24;501,5;524;490;490;502;506,5;508,5;499;
28.12.2018;8:05:24;501,5;524;490;490;502;506,5;508,5;499;
28.12.2018;8:05:25;501,5;524;490;490;502;506,5;508,5;499;
28.12.2018;8:05:25;501,5;524;490;490;502;506,5;508,5;499;
28.12.2018;8:05:26;501,5;524;490;490;502;506,5;508,5;499;
28.12.2018;8:05:26;501,5;524;490;490;502;506,5;508,5;499;
28.12.2018;8:05:27;501,5;524;490;490;502;506,5;508,5;499;
28.12.2018;8:05:28;501,5;524;490;490;502;506,5;508,5;499;
28.12.2018;8:05:28;501,5;524;490;490;502;506,5;508,5;499;
28.12.2018;8:05:29;501,5;524;490;490;502;506,5;508,5;499;
28.12.2018;8:05:29;501,5;524;490;490;502;506,5;508,5;499;
28.12.2018;8:05:30;501,5;524;490;490;502;506,5;508,5;499;
28.12.2018;8:05:30;501,5;524;490;490;502;506,5;508,5;499;
28.12.2018;8:05:31;501,5;524;490;490;502;506,5;508,5;499;
28.12.2018;8:05:31;501,5;524;490;490;502;506,5;508,5;499;
28.12.2018;8:05:32;501,5;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:05:32;501,5;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:05:33;501,5;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:05:33;501,5;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:05:34;501,5;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:05:34;501,5;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:05:35;501,5;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:05:35;501,5;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:05:36;501,5;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:05:36;501,5;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:05:37;501,5;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:05:37;501,5;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:05:38;501,5;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:05:38;501,5;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:05:39;501,5;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:05:40;501,5;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:05:40;501,5;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:05:41;501,5;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:05:41;501,5;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:05:42;501,5;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:05:42;501,5;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:05:43;501,5;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:05:43;501,5;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:05:44;501,5;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:05:44;501,5;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:05:45;501,5;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:05:45;501,5;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:05:46;501,5;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:05:46;501,5;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:05:47;501,5;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:05:47;501,5;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:05:48;501,5;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:05:48;501,5;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:05:49;501,5;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:05:49;501,5;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:05:50;501,5;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:05:50;501,5;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:05:51;501,5;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:05:51;501,5;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:05:52;501,5;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:05:52;501,5;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:05:53;501,5;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:05:54;501,5;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:05:54;501;524;490;490;502,5;506,5;508,5;499,5;
28.12.2018;8:05:55;501;524;490;490;502,5;506,5;508,5;499,5;
28.12.2018;8:05:55;501;524;490;490;502,5;506,5;508,5;499,5;
28.12.2018;8:05:56;501;524;490;490;502,5;506,5;508,5;499,5;
28.12.2018;8:05:56;501;524;490;490;502,5;506,5;508,5;499,5;
28.12.2018;8:05:57;501;524;490;490;502,5;506,5;508,5;499,5;
28.12.2018;8:05:57;501;524;490;490;502,5;506,5;508,5;499,5;
28.12.2018;8:05:58;501;524;490;490;502,5;506,5;508,5;499,5;
28.12.2018;8:05:58;501;524;490;490;502,5;506,5;508,5;499,5;
28.12.2018;8:05:59;501;524;490;490;502,5;506,5;508,5;499,5;
28.12.2018;8:05:59;501;524;490;490;502,5;506,5;508,5;499,5;
28.12.2018;8:06:00;501;524;490;490;502,5;506,5;508,5;499,5;
28.12.2018;8:06:00;501;524;490;490;502,5;506,5;508,5;499,5;
28.12.2018;8:06:01;501;524;490;490;502,5;506,5;508,5;499,5;
28.12.2018;8:06:01;501;524;490;490;502,5;506,5;508,5;499,5;
28.12.2018;8:06:02;501;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:06:02;501;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:06:03;501;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:06:03;501;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:06:04;501;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:06:04;501;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:06:05;501;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:06:05;501;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:06:06;501;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:06:06;501;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:06:07;501;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:06:07;501;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:06:08;501;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:06:08;501;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:06:09;501,5;524;490;490;502;507;508,5;499,5;
28.12.2018;8:06:10;501,5;524;490;490;502;507;508,5;499,5;
28.12.2018;8:06:10;501,5;524;490;490;502;507;508,5;499,5;
28.12.2018;8:06:11;501,5;524;490;490;502;507;508,5;499,5;
28.12.2018;8:06:11;501,5;524;490;490;502;507;508,5;499,5;
28.12.2018;8:06:12;501,5;524;490;490;502;507;508,5;499,5;
28.12.2018;8:06:12;501,5;524;490;490;502;507;508,5;499,5;
28.12.2018;8:06:13;501,5;524;490;490;502;507;508,5;499,5;
28.12.2018;8:06:13;501,5;524;490;490;502;507;508,5;499,5;
28.12.2018;8:06:14;501,5;524;490;490;502;507;508,5;499,5;
28.12.2018;8:06:14;501,5;524;490;490;502;507;508,5;499,5;
28.12.2018;8:06:15;501,5;524;490;490;502;507;508,5;499,5;
28.12.2018;8:06:15;501,5;524;490;490;502;507;508,5;499,5;
28.12.2018;8:06:16;501,5;524;490;490;502;507;508,5;499,5;
28.12.2018;8:06:16;501,5;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:06:17;501;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:06:17;501;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:06:18;501;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:06:18;501;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:06:19;501;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:06:19;501;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:06:20;501;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:06:20;501;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:06:21;501;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:06:21;501;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:06:22;501;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:06:22;501;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:06:23;501;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:06:23;501;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:06:24;501,5;524;490;490;502;506,5;508,5;499;
28.12.2018;8:06:24;501,5;524;490;490;502;506,5;508,5;499;
28.12.2018;8:06:25;501,5;524;490;490;502;506,5;508,5;499;
28.12.2018;8:06:26;501,5;524;490;490;502;506,5;508,5;499;
28.12.2018;8:06:26;501,5;524;490;490;502;506,5;508,5;499;
28.12.2018;8:06:27;501,5;524;490;490;502;506,5;508,5;499;
28.12.2018;8:06:27;501,5;524;490;490;502;506,5;508,5;499;
28.12.2018;8:06:28;501,5;524;490;490;502;506,5;508,5;499;
28.12.2018;8:06:28;501,5;524;490;490;502;506,5;508,5;499;
28.12.2018;8:06:29;501,5;524;490;490;502;506,5;508,5;499;
28.12.2018;8:06:29;501,5;524;490;490;502;506,5;508,5;499;
28.12.2018;8:06:30;501,5;524;490;490;502;506,5;508,5;499;
28.12.2018;8:06:30;501,5;524;490;490;502;506,5;508,5;499;
28.12.2018;8:06:31;501,5;524;490;490;502;506,5;508,5;499;
28.12.2018;8:06:31;501,5;524;490;490;502;506,5;508,5;499;
28.12.2018;8:06:32;501,5;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:06:32;501,5;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:06:33;501,5;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:06:33;501,5;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:06:34;501,5;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:06:34;501,5;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:06:35;501,5;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:06:35;501,5;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:06:36;501,5;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:06:36;501,5;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:06:37;501,5;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:06:37;501,5;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:06:38;501,5;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:06:38;501,5;524;490;490;502;506,5;508,5;499,5;
28.12.2018;8:06:39;501;524;490;490;502;506,5;508,5;499;
28.12.2018;8:06:40;501;524;490;490;502;506,5;508,5;499;
28.12.2018;8:06:40;501;524;490;490;502;506,5;508,5;499;
28.12.2018;8:06:41;501;524;490;490;502;506,5;508,5;499;
