Архив за 10 мин от ПТК КМ-Дельта от 12 декабря 2018 г. IP-адрес: 192.168.1.170
Датчик №1;Датчик №2;Датчик №3;Датчик №4;Датчик №5;Датчик №6;Датчик №7;Датчик №8;
257;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;
1283;0;0;0;0;0;0;0;
3;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;
