Архив событий от ПТК КМ-Дельта от 7 февраля 2019 г. IP-адрес: 192.168.1.170
№; Дата; Событие; Статус сигнала;
1; 05.02.2019 21:18:51.000; Отсутствие связи с САУ ГА;   + ;
2; 05.02.2019 21:18:32.000; Отсутствие связи с САУ ГА;   - ;
3; 05.02.2019 21:17:22.000; Отсутствие связи с САУ ГА;   + ;
4; 05.02.2019 21:16:50.000; Отсутствие связи с САУ ГА;   - ;
5; 05.02.2019 21:15:10.000; Отсутствие связи с САУ ГА;   + ;
6; 05.02.2019 21:14:53.000; Отсутствие связи с САУ ГА;   + ;
7; 05.02.2019 21:14:53.000; Отсутствие связи с САУ ГА;   - ;
8; 05.02.2019 21:14:44.000; Отсутствие связи с САУ ГА;   + ;
9; 05.02.2019 21:14:36.000; Отсутствие связи с САУ ГА;   - ;
10; 05.02.2019 21:14:27.000; Отсутствие связи с САУ ГА;   - ;
11; 05.02.2019 21:12:29.000; Отсутствие связи с САУ ГА;   + ;
12; 05.02.2019 21:12:20.000; Отсутствие связи с САУ ГА;   + ;
13; 05.02.2019 21:11:57.000; Отсутствие связи с САУ ГА;   + ;
14; 05.02.2019 21:11:57.000; Отсутствие связи с САУ ГА;   + ;
15; 05.02.2019 21:11:57.000; Отсутствие связи с САУ ГА;   + ;
16; 05.02.2019 21:11:57.000; Отсутствие связи с САУ ГА;   + ;
17; 05.02.2019 21:11:57.000; Отсутствие связи с САУ ГА;   + ;
18; 05.02.2019 21:11:52.000; Нет связи с МКЛП №1;   + ;
19; 05.02.2019 21:11:52.000; Нет связи с МКЛП №3;   + ;
20; 05.02.2019 21:11:52.000; Нет связи с МКЛП №4;   + ;
21; 05.02.2019 21:11:52.000; Нет связи с МКЛП №5;   + ;
22; 05.02.2019 21:11:52.000; Нет связи с МКЛП №6;   + ;
23; 05.02.2019 21:11:52.000; Нет связи с МКЛП №7;   + ;
24; 05.02.2019 21:11:52.000; Нет связи с МКЛП №8;   + ;
25; 05.02.2019 21:11:52.000; Нет связи с МКЛП №2;   + ;
26; 05.02.2019 21:11:52.000; Нет связи с МКЛП №2;   + ;
27; 05.02.2019 21:11:51.000; Нет связи с МКЛП №1;   + ;
28; 05.02.2019 21:11:51.000; Нет связи с МКЛП №7;   + ;
29; 05.02.2019 21:11:51.000; Нет связи с МКЛП №6;   + ;
30; 05.02.2019 21:11:51.000; Нет связи с МКЛП №5;   + ;
31; 05.02.2019 21:11:51.000; Нет связи с МКЛП №4;   + ;
32; 05.02.2019 21:11:51.000; Нет связи с МКЛП №3;   + ;
33; 05.02.2019 21:11:51.000; Нет связи с МКЛП №8;   + ;
34; 05.02.2019 21:11:46.000; Установка даты и времени;   + ;
35; 05.02.2019 21:11:40.000; Нет связи с МКЛП №6;   + ;
36; 05.02.2019 21:11:40.000; Нет связи с МКЛП №7;   + ;
37; 05.02.2019 21:11:40.000; Нет связи с МКЛП №8;   + ;
38; 05.02.2019 21:11:40.000; Нет связи с МКЛП №3;   + ;
39; 05.02.2019 21:11:40.000; Нет связи с МКЛП №1;   + ;
40; 05.02.2019 21:11:40.000; Нет связи с МКЛП №1;   + ;
41; 05.02.2019 21:11:40.000; Нет связи с МКЛП №2;   + ;
42; 05.02.2019 21:11:40.000; Нет связи с МКЛП №3;   + ;
43; 05.02.2019 21:11:40.000; Нет связи с МКЛП №4;   + ;
44; 05.02.2019 21:11:40.000; Нет связи с МКЛП №8;   + ;
45; 05.02.2019 21:11:40.000; Нет связи с МКЛП №5;   + ;
46; 05.02.2019 21:11:40.000; Нет связи с МКЛП №7;   + ;
47; 05.02.2019 21:11:40.000; Нет связи с МКЛП №5;   + ;
48; 05.02.2019 21:11:40.000; Нет связи с МКЛП №6;   + ;
49; 05.02.2019 21:11:40.000; Нет связи с МКЛП №6;   + ;
50; 05.02.2019 21:11:40.000; Нет связи с МКЛП №3;   + ;
51; 05.02.2019 21:11:40.000; Нет связи с МКЛП №2;   + ;
52; 05.02.2019 21:11:40.000; Нет связи с МКЛП №1;   + ;
53; 05.02.2019 21:11:40.000; Нет связи с МКЛП №8;   + ;
54; 05.02.2019 21:11:40.000; Нет связи с МКЛП №7;   + ;
55; 05.02.2019 21:11:40.000; Нет связи с МКЛП №4;   + ;
56; 05.02.2019 21:11:40.000; Нет связи с МКЛП №5;   + ;
57; 05.02.2019 21:11:40.000; Нет связи с МКЛП №4;   + ;
58; 05.02.2019 21:11:40.000; Нет связи с МКЛП №8;   + ;
59; 05.02.2019 21:11:40.000; Нет связи с МКЛП №7;   + ;
60; 05.02.2019 21:11:40.000; Нет связи с МКЛП №6;   + ;
61; 05.02.2019 21:11:40.000; Нет связи с МКЛП №1;   + ;
62; 05.02.2019 21:11:40.000; Нет связи с МКЛП №2;   + ;
63; 05.02.2019 21:11:40.000; Нет связи с МКЛП №3;   + ;
64; 05.02.2019 21:11:40.000; Нет связи с МКЛП №4;   + ;
65; 05.02.2019 21:11:40.000; Нет связи с МКЛП №5;   + ;
66; 05.02.2019 21:11:40.000; Нет связи с МКЛП №6;   + ;
67; 05.02.2019 21:11:40.000; Нет связи с МКЛП №7;   + ;
68; 05.02.2019 21:11:40.000; Нет связи с МКЛП №8;   + ;
69; 05.02.2019 21:11:40.000; Нет связи с МКЛП №5;   + ;
70; 05.02.2019 21:11:40.000; Нет связи с МКЛП №1;   + ;
71; 05.02.2019 21:11:40.000; Нет связи с МКЛП №2;   + ;
72; 05.02.2019 21:11:40.000; Нет связи с МКЛП №3;   + ;
73; 05.02.2019 21:11:40.000; Нет связи с МКЛП №1;   + ;
74; 05.02.2019 21:11:40.000; Нет связи с МКЛП №4;   + ;
75; 05.02.2019 21:11:40.000; Нет связи с МКЛП №5;   + ;
76; 05.02.2019 21:11:40.000; Нет связи с МКЛП №6;   + ;
77; 05.02.2019 21:11:40.000; Нет связи с МКЛП №7;   + ;
78; 05.02.2019 21:11:40.000; Нет связи с МКЛП №8;   + ;
79; 05.02.2019 21:11:40.000; Нет связи с МКЛП №4;   + ;
80; 05.02.2019 21:11:40.000; Нет связи с МКЛП №1;   + ;
81; 05.02.2019 21:11:40.000; Нет связи с МКЛП №2;   + ;
82; 05.02.2019 21:11:40.000; Нет связи с МКЛП №3;   + ;
83; 05.02.2019 21:11:40.000; Нет связи с МКЛП №5;   + ;
84; 05.02.2019 21:11:40.000; Нет связи с МКЛП №2;   + ;
85; 05.02.2019 21:11:40.000; Нет связи с МКЛП №2;   + ;
86; 05.02.2019 21:11:40.000; Нет связи с МКЛП №4;   + ;
