Архив событий от ПТК КМ-Дельта от 20 декабря 2018 г. IP-адрес: 192.168.1.170
№; Дата; Событие; Статус сигнала;
1; 20.12.2018 21:45:05.000; Отсутствие связи с САУ ГА;   - ;
2; 20.12.2018 21:44:56.000; Отсутствие связи с САУ ГА;   + ;
3; 20.12.2018 21:43:01.000; Отсутствие связи с САУ ГА;   - ;
4; 20.12.2018 8:03:15.000; Отсутствие связи с САУ ГА;   + ;
5; 20.12.2018 8:02:59.000; Отсутствие связи с САУ ГА;   - ;
6; 20.12.2018 8:02:27.000; Установка даты и времени;   + ;
7; 20.12.2018 8:02:13.000; Нет связи с МКЛП №6;   + ;
8; 20.12.2018 8:02:13.000; Нет связи с МКЛП №7;   + ;
9; 20.12.2018 8:02:13.000; Нет связи с МКЛП №8;   + ;
10; 20.12.2018 8:02:13.000; Отсутствие связи с САУ ГА;   + ;
11; 20.12.2018 8:02:10.000; Нет связи с МКЛП №5;   + ;
12; 20.12.2018 8:02:10.000; Нет связи с МКЛП №4;   + ;
13; 20.12.2018 8:02:10.000; Нет связи с МКЛП №3;   + ;
14; 20.12.2018 8:02:10.000; Нет связи с МКЛП №2;   + ;
15; 20.12.2018 8:02:10.000; Нет связи с МКЛП №1;   + ;
16; 20.12.2018 8:02:10.000; Включение ПТК КМ-Дельта;   + ;
17; 20.12.2018 7:50:49.000; Отсутствие связи с САУ ГА;   + ;
18; 20.12.2018 7:50:16.000; Отсутствие связи с САУ ГА;   - ;
19; 19.12.2018 21:58:25.000; Отсутствие связи с САУ ГА;   + ;
20; 19.12.2018 21:57:40.000; Установка даты и времени;   + ;
21; 19.12.2018 21:57:40.000; Отсутствие связи с САУ ГА;   - ;
22; 19.12.2018 21:57:10.000; Включение ПТК КМ-Дельта;   + ;
23; 19.12.2018 21:57:10.000; Нет связи с МКЛП №1;   + ;
24; 19.12.2018 21:57:10.000; Нет связи с МКЛП №2;   + ;
25; 19.12.2018 21:57:10.000; Нет связи с МКЛП №3;   + ;
26; 19.12.2018 21:57:10.000; Нет связи с МКЛП №4;   + ;
27; 19.12.2018 21:57:10.000; Нет связи с МКЛП №6;   + ;
28; 19.12.2018 21:57:10.000; Нет связи с МКЛП №8;   + ;
29; 19.12.2018 21:57:10.000; Нет связи с МКЛП №7;   + ;
30; 19.12.2018 21:57:10.000; Нет связи с МКЛП №2;   + ;
31; 19.12.2018 21:57:10.000; Нет связи с МКЛП №8;   + ;
32; 19.12.2018 21:57:10.000; Нет связи с МКЛП №5;   + ;
33; 19.12.2018 21:57:10.000; Включение ПТК КМ-Дельта;   + ;
34; 19.12.2018 21:57:10.000; Нет связи с МКЛП №1;   + ;
35; 19.12.2018 21:57:10.000; Включение ПТК КМ-Дельта;   + ;
36; 19.12.2018 21:57:10.000; Включение ПТК КМ-Дельта;   + ;
