חםאקוםטÿ אבסמכ‏עûו;
ִאעא;ֲנולÿ;ּÊֻֿ1,לךל;ּÊֻֿ2,לךל;ּÊֻֿ3,לךל;ּÊֻֿ4,לךל;ּÊֻֿ5,לךל;ּÊֻֿ6,לךל;ּÊֻֿ7,לךל;ּÊֻֿ8,לךל;
08.01.2019;12:33:51;501,5;524;490;490;501,5;506,5;508;499,5;
08.01.2019;12:33:51;501,5;524;490;490;501,5;506,5;508;499,5;
08.01.2019;12:33:52;501,5;524;490;490;501,5;506,5;508;499,5;
08.01.2019;12:33:52;501,5;524;490;490;501,5;506,5;508;499,5;
08.01.2019;12:33:53;501,5;524;490;490;501,5;506,5;508;499,5;
08.01.2019;12:33:53;501,5;524;490;490;501,5;506,5;508;499,5;
08.01.2019;12:33:54;501,5;524;490;490;501,5;506,5;508;499,5;
08.01.2019;12:33:54;501,5;524;490;490;501,5;506,5;508;499,5;
08.01.2019;12:33:55;501,5;524;490;490;501,5;506,5;508;499,5;
08.01.2019;12:33:56;501,5;524;490;490;501,5;506,5;508;499,5;
08.01.2019;12:33:56;501,5;524;490;490;501,5;506,5;508;499,5;
08.01.2019;12:33:57;501,5;524;490;490;501,5;506,5;508;499,5;
08.01.2019;12:33:57;501,5;524;490;490;501,5;506,5;508;499,5;
08.01.2019;12:33:58;501,5;524;490;490;501,5;506,5;508;499,5;
08.01.2019;12:33:58;501,5;524;490;490;501,5;507;508;499,5;
08.01.2019;12:33:59;501,5;524;490;490;501,5;507;508;499,5;
08.01.2019;12:33:59;501,5;524;490;490;501,5;507;508;499,5;
08.01.2019;12:34:00;501,5;524;490;490;501,5;507;508;499,5;
08.01.2019;12:34:00;501,5;524;490;490;501,5;507;508;499,5;
