Архив за 10 мин от ПТК КМ-Дельта от 8 января 2019 г. IP-адрес: 192.168.1.170
Датчик №1;Датчик №2;Датчик №3;Датчик №4;Датчик №5;Датчик №6;Датчик №7;Датчик №8;
257;60163;6148;54275;54275;60419;62723;63747;
0;60163;6148;54275;54275;60419;62723;64003;
1283;60163;6148;54275;54275;60419;62723;64003;
3;60163;6148;54275;54275;60419;62723;64003;
3;59908;6147;54275;54275;60419;62723;63747;
60163;6148;54275;54275;60419;62723;63747;59139;
60163;6148;54275;54275;60419;62723;63747;58883;
60163;6148;54275;54275;60419;62723;63747;58883;
60163;6148;54275;54275;60419;62723;63747;58883;
60163;6148;54275;54275;60419;62723;63747;58883;
60163;6148;54275;54275;60419;62723;63747;58883;
60163;6148;54275;54275;60419;62723;63747;58883;
59907;6148;54275;54275;60419;62723;63747;58883;
60163;6148;54275;54275;60419;62723;63747;58883;
59907;6148;54275;54275;60419;62723;63747;58883;
59907;6148;54275;54275;60419;62723;63747;58883;
60163;6148;54275;54275;60419;62723;63747;58883;
59907;6148;54275;54275;60419;62723;63747;58883;
60163;6148;54275;54275;60419;62723;63747;58883;
60163;6148;54275;54275;60419;62723;64003;58883;
60163;6148;54275;54275;60419;62723;64003;58883;
60163;6148;54275;54275;60419;62723;64003;58883;
60163;6148;54275;54275;60675;62723;64003;58883;
60163;6148;54275;54275;60419;62723;63747;58883;
60163;6148;54275;54275;60419;62723;63747;58883;
60163;6148;54275;54275;60419;62723;63747;58883;
59907;6148;54275;54275;60419;62723;64003;58883;
59907;6148;54275;54275;60419;62723;64003;58883;
59907;6148;54275;54275;60419;62723;64003;58883;
60163;6148;54275;54275;60419;62723;64003;58883;
59907;6148;54275;54275;60675;62979;64003;58883;
60163;6148;54275;54275;60675;62723;64003;58883;
60163;6148;54275;54275;60675;62723;64003;58883;
60163;6148;54275;54275;60675;62723;64003;58883;
59907;6148;54275;54275;60419;62723;64003;58883;
60163;6148;54275;54275;60419;62979;63747;58883;
60163;6148;54275;54275;60419;62979;63747;58883;
60163;6148;54275;54275;60419;62723;63747;59139;
60163;6148;54275;54275;60419;62979;63747;59139;
60163;6148;54275;54275;60419;62979;63747;58883;
60163;6148;54275;54275;60419;62979;63747;58883;
60163;6148;54275;54275;60419;62723;63747;58883;
60163;6148;54275;54275;60419;62723;64003;58883;
60163;6148;54275;54275;60675;62723;64003;58883;
60163;6148;54275;54275;60419;62723;64003;58883;
60163;6148;54275;54275;60419;62723;64003;58883;
60163;6148;54275;54275;60419;62723;64003;59139;
60163;6148;54275;54275;60419;62723;63747;58883;
59907;6148;54275;54275;60419;62723;63747;59139;
59907;6148;54275;54275;60419;62723;63747;59139;
60163;6148;54275;54275;60419;62979;63747;58883;
59907;6148;54275;54275;60419;62723;63747;59139;
60163;6148;54275;54275;60419;62723;63747;59139;
59907;6148;54275;54275;60419;62723;63747;59139;
59907;6148;54275;54275;60419;62723;63747;58883;
60163;6148;54275;54275;60419;62723;63747;58883;
60163;6148;54275;54275;60419;62723;63747;58883;
60163;6148;54275;54275;60419;62723;63747;58883;
60163;6148;54275;54275;60419;62723;63747;59139;
60163;6148;54275;54275;60419;62723;64003;59139;
60163;6148;54275;54275;60419;62723;64003;59139;
60163;6148;54275;54275;60419;62723;64003;59139;
60163;6148;54275;54275;60419;62723;64003;59139;
60163;6148;54275;54275;60675;62723;64003;58883;
60163;6148;54275;54275;60675;62723;64003;58883;
60163;6148;54275;54275;60675;62723;64003;58883;
60163;6148;54275;54275;60675;62723;63747;58883;
60163;6148;54275;54275;60419;62723;63747;59139;
60163;6148;54275;54275;60675;62979;64003;58883;
60163;6148;54275;54275;60675;62979;64003;58883;
60163;6148;54275;54275;60419;62723;64003;58883;
60163;6148;54275;54275;60419;62723;63747;58883;
60163;6148;54275;54275;60675;62723;64003;59139;
60163;6148;54275;54275;60419;62723;64003;58883;
60163;6148;54275;54275;60419;62723;64003;58883;
60163;6148;54275;54275;60419;62723;64003;58883;
60163;6148;54275;54275;60419;62723;64003;59139;
60163;6148;54275;54275;60419;62723;64003;59139;
60163;6148;54275;54275;60419;62723;64003;59139;
60163;6148;54275;54275;60419;62723;64003;58883;
