ÁÌ‡˜ÂÌËˇ ‡·ÒÓÎ˛Ú˚Â;
ƒ‡Ú‡;¬ÂÏˇ;Ã Àœ1,ÏÍÏ;Ã Àœ2,ÏÍÏ;Ã Àœ3,ÏÍÏ;Ã Àœ4,ÏÍÏ;Ã Àœ5,ÏÍÏ;Ã Àœ6,ÏÍÏ;Ã Àœ7,ÏÍÏ;Ã Àœ8,ÏÍÏ;
03.12.2018;6:59:08;0;0;0;0;0;0;0;0;
03.12.2018;6:59:08;0;0;0;0;0;0;0;0;
03.12.2018;6:59:08;0;0;0;0;0;0;0;0;
03.12.2018;6:59:08;0;0;0;0;0;0;0;0;
03.12.2018;6:59:08;0;0;0;0;0;0;0;0;
03.12.2018;6:59:09;0;0;0;0;0;0;0;0;
03.12.2018;6:59:09;0;0;0;0;0;0;0;0;
03.12.2018;6:59:09;0;0;0;0;0;0;0;0;
03.12.2018;6:59:09;0;0;0;0;0;0;0;0;
03.12.2018;6:59:09;0;0;0;0;0;0;0;0;
03.12.2018;6:59:09;0;0;0;0;0;0;0;0;
03.12.2018;6:59:09;0;0;0;0;0;0;0;0;
03.12.2018;6:59:10;0;0;0;0;0;0;0;0;
03.12.2018;6:59:10;0;0;0;0;0;0;0;0;
03.12.2018;6:59:10;0;0;0;0;0;0;0;0;
03.12.2018;6:59:10;0;0;0;0;0;0;0;0;
03.12.2018;6:59:10;0;0;0;0;0;0;0;0;
03.12.2018;6:59:10;0;0;0;0;0;0;0;0;
03.12.2018;6:59:11;0;0;0;0;0;0;0;0;
03.12.2018;6:59:11;0;0;0;0;0;0;0;0;
03.12.2018;6:59:11;0;0;0;0;0;0;0;0;
03.12.2018;6:59:11;0;0;0;0;0;0;0;0;
03.12.2018;6:59:11;0;0;0;0;0;0;0;0;
03.12.2018;6:59:11;0;0;0;0;0;0;0;0;
03.12.2018;6:59:11;0;0;0;0;0;0;0;0;
03.12.2018;6:59:12;0;0;0;0;0;0;0;0;
03.12.2018;6:59:12;0;0;0;0;0;0;0;0;
03.12.2018;6:59:12;0;0;0;0;0;0;0;0;
03.12.2018;6:59:12;0;0;0;0;0;0;0;0;
03.12.2018;6:59:12;0;0;0;0;0;0;0;0;
03.12.2018;6:59:12;0;0;0;0;0;0;0;0;
03.12.2018;6:59:13;0;0;0;0;0;0;0;0;
03.12.2018;6:59:13;0;0;0;0;0;0;0;0;
03.12.2018;6:59:13;0;0;0;0;0;0;0;0;
03.12.2018;6:59:13;0;0;0;0;0;0;0;0;
03.12.2018;6:59:13;0;0;0;0;0;0;0;0;
03.12.2018;6:59:13;0;0;0;0;0;0;0;0;
03.12.2018;6:59:13;0;0;0;0;0;0;0;0;
03.12.2018;6:59:14;0;0;0;0;0;0;0;0;
03.12.2018;6:59:14;0;0;0;0;0;0;0;0;
03.12.2018;6:59:14;0;0;0;0;0;0;0;0;
03.12.2018;6:59:14;0;0;0;0;0;0;0;0;
03.12.2018;6:59:14;0;0;0;0;0;0;0;0;
03.12.2018;6:59:14;0;0;0;0;0;0;0;0;
03.12.2018;6:59:14;0;0;0;0;0;0;0;0;
03.12.2018;6:59:15;0;0;0;0;0;0;0;0;
03.12.2018;6:59:15;0;0;0;0;0;0;0;0;
03.12.2018;6:59:15;0;0;0;0;0;0;0;0;
03.12.2018;6:59:15;0;0;0;0;0;0;0;0;
03.12.2018;6:59:15;0;0;0;0;0;0;0;0;
03.12.2018;6:59:15;0;0;0;0;0;0;0;0;
03.12.2018;6:59:16;0;0;0;0;0;0;0;0;
03.12.2018;6:59:16;0;0;0;0;0;0;0;0;
03.12.2018;6:59:16;0;0;0;0;0;0;0;0;
03.12.2018;6:59:16;0;0;0;0;0;0;0;0;
03.12.2018;6:59:16;0;0;0;0;0;0;0;0;
03.12.2018;6:59:16;0;0;0;0;0;0;0;0;
03.12.2018;6:59:16;0;0;0;0;0;0;0;0;
03.12.2018;6:59:17;0;0;0;0;0;0;0;0;
03.12.2018;6:59:17;0;0;0;0;0;0;0;0;
03.12.2018;6:59:17;0;0;0;0;0;0;0;0;
03.12.2018;6:59:17;0;0;0;0;0;0;0;0;
03.12.2018;6:59:17;0;0;0;0;0;0;0;0;
03.12.2018;6:59:17;0;0;0;0;0;0;0;0;
03.12.2018;6:59:17;0;0;0;0;0;0;0;0;
03.12.2018;6:59:18;0;0;0;0;0;0;0;0;
03.12.2018;6:59:18;0;0;0;0;0;0;0;0;
03.12.2018;6:59:18;0;0;0;0;0;0;0;0;
03.12.2018;6:59:18;0;0;0;0;0;0;0;0;
03.12.2018;6:59:18;0;0;0;0;0;0;0;0;
03.12.2018;6:59:18;0;0;0;0;0;0;0;0;
03.12.2018;6:59:19;0;0;0;0;0;0;0;0;
03.12.2018;6:59:19;0;0;0;0;0;0;0;0;
03.12.2018;6:59:19;0;0;0;0;0;0;0;0;
03.12.2018;6:59:19;0;0;0;0;0;0;0;0;
03.12.2018;6:59:19;0;0;0;0;0;0;0;0;
03.12.2018;6:59:19;0;0;0;0;0;0;0;0;
03.12.2018;6:59:19;0;0;0;0;0;0;0;0;
03.12.2018;6:59:20;0;0;0;0;0;0;0;0;
03.12.2018;6:59:20;0;0;0;0;0;0;0;0;
03.12.2018;6:59:20;0;0;0;0;0;0;0;0;
03.12.2018;6:59:20;0;0;0;0;0;0;0;0;
03.12.2018;6:59:20;0;0;0;0;0;0;0;0;
03.12.2018;6:59:20;0;0;0;0;0;0;0;0;
03.12.2018;6:59:20;0;0;0;0;0;0;0;0;
03.12.2018;6:59:21;0;0;0;0;0;0;0;0;
03.12.2018;6:59:21;0;0;0;0;0;0;0;0;
03.12.2018;6:59:21;0;0;0;0;0;0;0;0;
03.12.2018;6:59:21;0;0;0;0;0;0;0;0;
